"The results listed on this page are from residential homes in Chicago that have requested to have their water tested for lead. The results are anonymized to the block level, so the complete address of each home is not posted. In cases where a sample tests over 15 parts per billion (the action limit set by the EPA), the Department of Water Management will contact the homeowner to discuss the results and schedule a time to resample the water and inspect the home’s plumbing and electrical wiring to better evaluate possible causes.",,,,,,,,,,,,,,,,,,
Follow-Up Sequential Sampling,,Sequential Draws,,,,,,,,,,,Timed,,,,,
Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute
9/29/2021,115XX S May St,9.20,5.50,4.90,8.00,18.00,20.00,15.00,15.00,14.00,11.00,3.90,3.20,2.60,2.90,2.50,,
7/2/2019,116XX S Aberdeen ,4.41,5.28,6.78,5.93,6.41,8.2,11,11.2,14.5,13.1,10.6,4.28,,,,,
5/24/2021,116XX S Avenue L ,1.46,2.06,1.78,1.69,1.54,2.06,3.99,9.01,11.80,11.30,,11.20,<1,,,,
9/4/2019,116XX S Longwood Dr,4.69,7.52,6.10,4.84,5.04,5.69,5.92,9.82,10.40,9.44,8.53,3.84,,,,,
10/4/2019,116XX S May St,5.02,4.14,4.10,6.13,6.46,7.22,8.75,11.80,12.40,12.30,12.60,2.76,,,,,
10/16/2019,116XX S May St,5.42,5.76,7.38,5.8,8.51,7.91,8.99,12.3,11,10.4,12.4,3.47,,,,,
5/26/2021,116XX S Parnell Ave,45.00,30.00,18.00,14.00,12.00,7.80,9.10,,,,,12.00,4.50,3.80,,3.70,
11/4/2016,117XX S Bell Ave,5.92,6.07,6.54,6.5,6.64,6.4,6.07,5.89,,,5.49,4.08,,,,,
10/29/2016,117XX S Justine St**,8.65,7.88,8.7,10.5,16,15.2,14.7,14.5,13.2,13,12.4,10.5,,,,,
1/21/2017,117XX S Justine St**,16.50,8.88,9.77,8.62,8.91,11.2,11.4,9.81,7.8,7.08,7.02,2.97,,,,,
8/16/2021,117XX S Longwood Dr,8.23,9.91,10.10,11.30,15.40,18.30,18.30,18.10,16.90,16.60,12.50,4.59,4.12,4.01,3.70,,
11/30/2021,117XX S Peoria St,6.30,8.37,8.48,8.90,8.21,8.44,9.27,10.50,11.10,12.30,3.66,1.47,,,,,
12/12/2019,118XX S Campbell Ave,5.14,5.15,6.36,8.12,12.40,12.10,10.20,11.10,12.40,12.70,12.60,12.10,9.76,3.57,2.35,,
11/24/2021,118XX S Maplewood Ave,4.79,2.62,1.39,5.74,<1,<1,<1,<1,<1,<1,<1,,,,,,
2/25/2017,11XX E 48Th St**,38.10,55.50,25.2,30,27.8,29.5,33.4,30.5,25.7,25.3,14.8,6.86,,,,,
7/29/2017,11XX E 48Th St**,17.20,47.10,38.40,37.7,36.50,33.90,30.30,26.60,26.10,25.60,23.6,10,,,,,
6/7/2021,11XX E 54Th St,10.60,17.50,25.30,24.00,24.00,23.50,16.70,16.00,11.20,8.70,,7.28,6.53,6.76,6.69,5.76,
8/23/2019,11XX N Massasoit Ave,12,11.7,12.7,24.6,28.9,28.8,29.2,32.6,33.4,33,31.5,13.4,6.94,6.44,6.25,,
6/16/2021,11XX N Sacramento Ave,13.00,12.00,13.00,14.00,23.00,27.00,26.00,25.00,23.00,21.00,,19.00,8.10,,,,
3/3/2020,11XX W 111Th St,2.98,1.97,1.89,2.05,2.67,2.53,1.90,1.69,1.61,1.40,0.47,0.36,,,,,
1/10/2020,11XX W 50Th St,2.10,4.39,18.90,24.70,18.30,12.20,7.30,2.42,1.27,1.02,0.85,0.76,,,,,
11/27/2018,11XX W George ,4.50,8.74,11.9,13.4,13.6,13.9,12.7,10.9,9.61,9.14,9.8,4.51,1.08,1,1.11,,
3/16/2016,11XX W George St,8.01,8.50,10.80,9,9.42,10.30,10.50,9.28,6.19,5.10,5.47,5.80,,,,,
3/26/2016,11XX W Lunt Ave,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,,,,,
7/12/2021,11XX W Morse Ave,2.25,9.25,14.70,13.20,10.60,9.24,7.81,6.66,6.69,3.22,,<1,<1,,,,
12/11/2018,11XX W Webster Ave,2.86,3.63,4.84,4.19,4.22,5.20,5.62,5.50,5.49,5.72,4.91,4.49,2.59,<1,<1,,
1/7/2019,11XX W Wrightwood ,5.56,5.66,4.67,4.92,5.29,6.44,6.21,5.9,6.35,5.4,4.24,3.07,2.74,2.55,2.68,,
12/1/2021,11XX W Wrightwood Ave,4.50,5.00,5.00,5.20,5.90,13.00,22.00,22.00,14.00,8.60,2.40,2.30,2.20,2.10,1.90,,
6/17/2021,120XX S Princeton Ave,5.60,3.50,2.30,1.90,1.90,2.40,2.90,2.70,2.50,2.30,,1.60,1.50,1.40,1.30,1.30,
3/31/2022,121XX S Justine St,23.70,33.70,34.50,26.80,25.40,19.40,18.32,20.30,19.00,14.40,2.65,2.32,,,,,
8/30/2021,121XX S Racine Ave,5.90,6.60,8.30,13.00,12.00,12.00,12.00,12.00,14.00,14.00,14.00,11.00,5.20,4.70,6.20,,
1/9/2017,121XX S Stewart Ave,3.43,4.28,3.49,3.32,2.6,2.2,,,,,1.97,3.31,,,,,
7/5/2019,121XX S Throop** ,29.20,33.00,33.4,37.8,46.8,48,48.2,49.4,52.2,57.2,22.7,,15,13.8,13,,
10/23/2019,121XX S Throop** ,24.6,28.1,31.1,34.6,39.9,42.6,43.5,42,42.4,40.9,42.8,17.7,9.93,9.04,8.11,,
9/24/2019,121XX S Wallace St,16.80,7.51,7.13,7.46,9.25,8.56,8.45,8.09,7.93,7.77,6.30,5.35,,,,,
7/23/2019,122XX S Carpenter ,6,8.43,23,22.1,13.8,18.5,20.4,21.4,21.9,21.5,,19.9,6.24,4.2,3.99,,
11/7/2016,122XX S Carpenter St**,14.00,16.80,15.6,16.4,16.9,15.1,14.7,13.1,13.6,12.9,8.83,4.23,,,,,
1/30/2018,122XX S Carpenter St**,5.60,5.16,5.69,5.05,5.17,5.05,5.10,4.12,3.60,3.34,2.85,2.03,,,,,
3/13/2020,122XX S Elizabeth St,11.60,17.00,25.20,29.50,38.20,34.70,30.40,26.60,29.60,32.00,34.60,4.82,4.27,3.90,3.72,,
