CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0024171995,20,30,12,23,9,15,12,17,9,12,9,33,3,5,3,9,10,9,10,7
CAMNT_0024172031,10,20,8,16,8,5,10,11,7,5,8,27,11,5,7,8,21,4,6,17
CAMNT_0024172047,138,176,112,166,106,75,89,127,110,183,106,161,104,134,162,106,63,117,107,110
CAMNT_0024172049,29,24,16,35,34,25,4,16,17,16,34,29,24,36,29,34,23,30,23,15
CAMNT_0024172061,21,28,23,23,18,17,9,14,22,19,18,18,17,13,28,18,20,21,6,14
CAMNT_0024172075,7,12,7,12,20,16,15,21,14,7,20,29,9,7,1,20,23,13,5,0
CAMNT_0024172079,52,28,21,43,31,43,27,38,20,18,31,62,31,24,41,31,21,26,31,14
CAMNT_0024172097,20,29,17,32,15,11,24,22,10,23,15,18,14,14,16,15,9,12,7,7
CAMNT_0024172099,64,63,44,56,47,25,38,58,42,56,47,47,41,47,43,47,27,49,57,33
CAMNT_0024172101,661,1013,929,875,622,1045,614,1000,443,690,622,1285,937,721,942,622,760,1042,760,545
CAMNT_0024172105,15,17,16,25,14,11,11,17,13,18,14,26,12,11,11,14,17,22,14,9
CAMNT_0024172111,18,11,10,17,16,14,3,10,7,10,16,19,9,4,8,16,11,18,9,4
CAMNT_0024172117,22,19,22,34,12,17,25,25,8,18,12,26,25,18,17,12,21,22,14,11
CAMNT_0024172133,33,40,36,31,21,21,23,30,33,20,21,47,34,27,29,21,29,42,58,24
CAMNT_0024172143,19,13,7,12,5,6,13,25,2,10,5,18,19,12,14,5,6,20,23,5
CAMNT_0024172145,10,20,8,10,6,11,12,11,11,9,6,16,6,7,7,6,9,13,14,9
CAMNT_0024172229,14,17,11,10,7,10,4,10,9,15,7,20,8,13,9,7,10,16,13,8
CAMNT_0024172265,39,90,23,26,24,47,38,58,5,32,24,43,30,39,32,24,32,34,23,16
CAMNT_0024172267,123,299,285,315,125,110,130,293,160,311,125,164,164,284,388,125,152,139,254,263
CAMNT_0024172273,12,8,7,14,12,14,8,15,7,3,12,16,13,4,13,12,5,12,4,9
CAMNT_0024172275,13,37,68,41,17,23,17,23,16,93,17,28,22,23,60,17,12,12,18,41
CAMNT_0024172295,43,49,49,48,29,54,32,47,38,59,29,63,43,55,63,29,40,43,43,35
CAMNT_0024172297,5,8,14,23,18,10,6,12,13,19,18,33,4,18,16,18,5,14,13,12
CAMNT_0024172299,11,10,8,19,10,14,3,16,9,13,10,13,4,17,6,10,8,15,7,6
CAMNT_0024172335,20,24,9,18,14,13,17,30,10,17,14,18,12,19,13,14,21,20,15,12
CAMNT_0024172337,16,14,47,29,16,5,4,13,13,49,16,8,1,9,59,16,8,4,10,36
CAMNT_0024172365,14,14,2,17,15,13,9,15,10,14,15,20,11,7,6,15,8,18,5,9
CAMNT_0024172379,4,15,30,40,22,2,1,23,29,40,22,4,0,14,29,22,0,4,25,44
CAMNT_0024172399,36,118,145,226,121,21,26,162,78,203,121,38,21,109,202,121,18,40,124,117
CAMNT_0024172403,5,23,29,46,24,1,7,31,30,42,24,2,2,17,45,24,2,2,20,33
CAMNT_0024172429,19,26,26,30,29,27,12,19,18,11,29,32,25,7,18,29,15,17,18,14
CAMNT_0024172457,25,41,31,22,21,32,10,35,10,18,21,40,12,21,9,21,25,45,21,29
CAMNT_0024172459,15,11,6,27,26,24,13,22,15,10,26,43,28,18,16,26,20,22,17,7
CAMNT_0024172461,12,17,6,12,7,15,13,19,13,5,7,17,7,4,10,7,4,15,8,7
CAMNT_0024172469,37,41,34,40,36,32,15,34,20,32,36,63,35,14,35,36,28,36,22,19
CAMNT_0024172479,132,140,71,85,90,90,44,94,77,83,90,154,87,99,113,90,82,98,89,72
CAMNT_0024172483,18,10,18,9,13,10,11,13,6,12,13,11,3,11,4,13,13,17,5,7
CAMNT_0024172507,20,33,14,34,15,19,25,21,10,20,15,30,24,21,15,15,14,16,6,19
CAMNT_0024172537,18,26,22,27,24,18,15,27,14,23,24,31,13,7,22,24,20,19,15,14
CAMNT_0024172589,15,15,13,15,15,8,8,14,14,9,15,15,17,8,18,15,7,8,13,4
CAMNT_0024172595,32,33,34,35,41,47,27,45,20,52,41,72,42,36,73,41,36,43,35,24
CAMNT_0024172611,16,15,9,9,12,17,15,10,7,10,12,15,10,14,6,12,10,12,9,8
CAMNT_0024172615,20,27,16,24,18,45,9,26,14,14,18,21,21,11,9,18,17,24,9,12
CAMNT_0024172625,26,12,10,15,15,16,9,26,9,20,15,21,8,13,11,15,11,13,8,9
CAMNT_0024172635,21,20,23,38,28,16,14,12,30,23,28,23,17,24,22,28,21,27,20,19
